"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,199820544,66606848,98.29492321188742
"hipLaunchKernel",1,3233339,3233339,1.5905311954460541
"hipMalloc",3,91461,30487,0.044991129500090016
"hipFree",3,53038,17679,0.02609024093794923
"hipMemset",1,44764,44764,0.022020127933676973
"hipDeviceSynchronize",1,37570,37570,0.018481284212050843
"__hipPushCallConfiguration",1,1844,1844,0.000907093108518013
"hipGetDeviceProperties",1,1503,1503,0.0007393497516825237
"hipGetDevice",1,1393,1393,0.000685238991413011
"__hipPopCallConfiguration",1,732,732,0.0003600825137934846
"hipPeekAtLastError",1,551,551,0.0002710457173500137
