"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",2,22942003,11471001,68.29480788656979
"hsa_amd_memory_pool_allocate",18,3451666,191759,10.275077828147996
"hsa_system_get_info",2051,1907677,930,5.678860482435984
"hsa_amd_memory_async_copy",1,1010179,1010179,3.0071472284284497
"hsa_amd_agents_allow_access",11,757243,68840,2.254195730357535
"hsa_amd_memory_lock_to_pool",3,667125,222375,1.9859283302912945
"hsa_queue_destroy",1,627600,627600,1.868268495545537
"hsa_executable_load_agent_code_object",2,385063,192531,1.1462732181329687
"hsa_signal_wait_scacquire",6,276260,46043,0.8223834521660454
"hsa_agent_get_info",213,249898,1173,0.743907840184574
"hsa_amd_memory_unlock",2,237356,118678,0.706572238732802
"hsa_executable_freeze",2,201128,100564,0.5987270649650778
"hsa_amd_memory_pool_free",5,174399,34879,0.5191589505332156
"hsa_signal_create",84,136595,1626,0.40662226760523046
"hsa_executable_destroy",1,128652,128652,0.3829771805113519
"hsa_system_get_major_extension_table",3,114465,38155,0.3407446675312618
"hsa_isa_get_info_alt",8,57588,7198,0.1714306024880121
"hsa_amd_memory_pool_get_info",88,44014,500,0.13102289605312503
"hsa_code_object_reader_create_from_memory",2,36419,18209,0.1084137513372736
"hsa_signal_destroy",39,28823,739,0.08580162977550831
"hsa_amd_agent_iterate_memory_pools",21,27825,1325,0.0828307375534649
"hsa_signal_load_relaxed",43,25028,582,0.07450449953236728
"hsa_amd_agent_memory_pool_get_info",48,24357,507,0.07250703592415973
"hsa_executable_create_alt",2,13475,6737,0.040112998689413815
"hsa_executable_get_symbol_by_name",15,11831,788,0.03521906400700964
"hsa_executable_symbol_get_info",15,8244,549,0.024541117713953804
"hsa_amd_profiling_get_dispatch_time",4,7465,1866,0.022222154747048174
"hsa_signal_store_screlease",7,6082,868,0.018105176848164366
"hsa_signal_silent_store_relaxed",8,4800,600,0.014288860386581545
"hsa_queue_add_write_index_screlease",7,4728,675,0.014074527480782823
"hsa_queue_load_read_index_scacquire",7,4397,628,0.01308919148329147
"hsa_queue_load_read_index_relaxed",7,4097,585,0.012196137709130124
"hsa_iterate_agents",2,3657,1828,0.010886325507026815
"hsa_amd_profiling_async_copy_enable",2,3406,1703,0.010139137182645155
"hsa_amd_signal_async_handler",1,2776,2776,0.008263724256906328
"hsa_agent_iterate_isas",4,2624,656,0.007811243677997912
"hsa_amd_profiling_set_profiler_enabled",2,2105,1052,0.006266260648698782
"hsa_amd_profiling_get_async_copy_time",1,791,791,0.0023546851178720836
"hsa_code_object_reader_destroy",1,761,761,0.0022653797404559492
